Subcorpus	Filename	Year data collection	Placement test score (raw)	Placement test score (%)	Proficiency	Sex	Age	School/University/Institution	Major	Year at university/school	L1	Father's native language	Mother's nativelanguage	Languages spoken at home	Age of exposure to Spanish	Years studying Spanish	Stay abroad in Spanish speaking country (>= 1 month)	Stay abroad (where)	Stay abroad (when)	Stay abroad (months)	Language certificates (type and level)	Proficiency (self-assessment) speaking	Proficiency (self-assessment) listening	Proficiency (self-assessment) reading	Proficiency (self-assessment) writing	Proficiency (self-assessment)	Additional foreign language(s)	Proficiency (self-assessment) in additional language speaking	Proficiency (self-assessment) in additional language listening	Proficiency (self-assessment) in additional language reading	Proficiency (self-assessment) in additional language writing	Medium	Task number	Task title	Writting/audio details	Minutes taken to complete the task	Where the task was done	Resources used	Text	Original text
Learners	EN_WR_41_19_9_2_CM	2006-2016	41 / 43	95.3	Upper advanced	Female	19	King's College London	Hispanic Studies with English	2nd	English	English	English	English	11	9	No	""	""	0	""	Lower advanced (C1)	Lower advanced (C1)	Upper advanced (C2)	Lower advanced (C1)	5.25 / 6	French	Lower intermediate (B1)	Lower advanced (C1)	Upper intermediate (B2)	Upper intermediate (B2)	Written	2	2. Famous person	written_online	""	Outside classroom	""	La modela Jordan es una persona muy ínfame en Inglaterra en este momento. No podemos abrir un periódico sin ver alguno de sus actividades asombrosas y raras. Hay quienes dicen que su comportamiento es asqueroso y no tiene respeto para su cuerpo o su familia porque quita su ropa y muestra sus tetas para ganar de dinero. Sin embargo, hay que tener en cuenta también que ella no es solamente una imagén falsa para los hombres, con sus tetas falsas. Tiene una familia y ha cambiado su vida mucho. Antes bebía mucho, actuaba de una manera muy inapropiada, pero ahora cuida de su niño minusválido y a mi me parece que no es tan descuidado como la gente crea. Según  <br/>  Jordan, es una persona positiva para las mujeres y ha dado poder a las hembras a través de su trabajo.Lo que me hace reír sobre Jordan es que no tiene talento alguno pero ella lo admita. Al menos es honesta. No obstante, muchos dicen ¿por qué tenemos que soportar el constante influjo de imágenes que son pornográficas en los periódicos? Los padres lamenten que sea una influencia negativa para las chicas jóvenes. En su defensa, Jordan solamente quiere hacer dinero. Si las chicas la siguen, el problema queda con los padres de ensenar a sus niños lo que es justo y lo que no. No creo que Jordan es una persona positiva para los jóvenes, absolutamente no, pero es un poco preocupante que la gente quiere ser como ella. No se puede menos de pensar que el mundo se está convirtiendo en un lugar más superficial. Opino que su trabajo es un poco como prostitución porque vende su cuerpo, los cuentos de su vida, de su familia y de su esposo. Cada día habla de sus problemas como si fuera la unica persona que los ha tenido. Su exito y la creación de una carerra que carece de sustancia da un mensaje negativo a otros. La gente quiere ser famosa por cualquier cosa, no para un talento. Parece ser el resultado del nuevo 'boom' de la telerrealidad y sus programas como 'Gran Hermano.'  <br/>  Al contrario,no podemos echar la culpa solamente a Jordan y sus acciones extraños. Todos tienen la responsabilidad de tener convicción y hacer lo que piensan es justo. Es verdad que estamos bombadeardos con las imágenes de ella en las portadas de las revistas y ella es como una heroína, es una mujer de negocios, no solamente una chica tonta que no sabe nada. Ha manipulado el público y ahora tiene respeto. Tenemos que preguntarnos si nosotros estamos apoyando su exito. Hay los que digan que ella es asquerosa pero la mayoría de ellos compran las revistas del corazón que tiene fotos de ella. Entonces, ¿es que nosotros somos hipocriticas ? Es una pregunta que hay que asumir. Por fin, ojalá pudiera concluir diciendo que Jordan es una persona que deberíamos respetar y admirar. Eso no es lo que creo, pero al mismo tiempo, si nosotros la admiramos, tenemos que cuestionar nuestros motivos y creencias de la vida y el respeto para el cuerpo y otras cosas fundamentales. Jordan ? modela sí, mujer de negocios con concienciación ya veremos...	
Learners	EN_WR_41_20_10_13_KYC	2019	41 / 43	95.3	Upper advanced	Female	20	Universidade da Coruña	Psychology	3	English	English	English, Polish	English	10	10	Yes	Spain	2019	4	B2	Upper intermediate (B2)	Upper intermediate (B2)	Upper intermediate (B2)	Upper intermediate (B2)	4 / 6	""	""	""	""	""	Written	13	13. Frog	written_online	15	Inside classroom	""	Un día, cuando estaba jugando fuera de casa, un chico llamado Pablo capturó una rana del bosque en una jarra. La trayó a casa para tenerla como mascota, y lo mostró a su perrito que miraba con mucha interés. Al final del día lleno de aventura, Pablo se fue a la cama para dormir. Por la noche la rana se dió cuenta de que Pablo estaba durmiendo, y decidió de escapar para reunirse con su familia que vivía en el bosque. Se fue rapidísimo y sin ruido. Por la mañana, cuando Pablo se despertó, se dió cuenta de que la rana ya no estaba en la jarra. Se puso preocupado porque pensaba que algo malo pasó, y quería saber si la rana estaba seguro. Pablo y su perrito se fueron corriendo al bosque para buscarla. Buscaron por todos partes del bosque, dentro de las ramas de los arboles y encima de rocas grandes. Cuando estaba subiendo unas rocas, Pablo asustó a un ciervo, que le empujó debajo de una colina. Su y su perrito se cayeron en un lago y tenían que nadar a la tierra para reorientarse. Al llegar a la tierra, saltaron por un árbol caído y ¡de repente vieron la rana! Estaba junto con su marido y sus seis hijos, y Pablo empezó a sonreir. Se dió cuenta de por qué salió la rana y que sería más feliz en el bosque con sus queridos y no en una jarra en su habitación. Al final, Pablo y su perrito dijeron <adios> a la rana y su familia y regresaron a casa, también felices porque sabían que la rana regresaba a vivir una vida mejor.	
Learners	EN_WR_41_20_5_1_CAA	2006-2016	41 / 43	95.3	Upper advanced	Female	20	Illinois Wesleyan University	BA	2nd	English	English	English	English	15	5	No	""	""	0	""	Lower intermediate (B1)	Upper intermediate (B2)	Upper intermediate (B2)	Upper intermediate (B2)	3.75 / 6	""	""	""	""	""	Written	1	1. Region where you live	written_online	40	Inside classroom	""	"Un mar lindo, colinas y montañas verdes cerca de la ciudad y un metro limpio son cosas fantasticas de España. A causa de que no tengo estas cosas en la región donde vivo hay más preciosas a mí. En mi región hay mucha cespéd y carreteras. Las personas viven en casas y conducen a las tiendas. La ciudad es más de media hora por coche de mi casa y el sólo agua es un lago. A pesar de las diferencias creo que ambos Madrid, España y Schaumburd, IL son bonitos y comodos en su propia manera. <br/>   Se llama mi región de los Estados Unidos el medio-oeste. En mi estado de Illinois hay muchisimos campos, fincas y maiz. El viaje de mi casa a mi universidad dura dos horas y todo este tiempo conduzco por tierra de maiz. De una distancia este ambiente parece ser aburrido pero en realidad es bonto y divertido. Los campos tienen colores especiales con variaciones de verge, oro y amarillo. Cuando las plantas mueven en el viento parece como un mar de verduras y a mi me encanta esta vista. También los animales de una finca son reciosos y hay muchisima lugar para correr. <br/>   Más que una lugar de finca, el región de mi barrio es justo al lado de n gran ciudad. En ""suburvia"" las casas son en lineas y curvas creyando barrios lleno de cesped y arboles. Hay pequenitos lagos en cada barrio y las tiendas son un viaje corto de la casa por coche. Hay tiendas grandes con una mezcla de cosas adentro cada tienda, Walmart tiene ropa, jugetes, comida, muebles, y más. Los restaurantes están cerca de las tiendas. En estos lugares nosotros podemos comer rapidamente o con despacio. <br/>   Es este convivencia de comercio y residencia diferente de la mezcla en madrid. Las casas en vez de los apartamentos de Madrid son separados de los restaurantes y tiendas en mi region. No puedo usar el metro para ir al almuerzo ni caminar rapidamente a mi tienda favorita como en esta gran ciudad de España. Pero como un resultado las noches de mi arrio son lleno de silencio y podemos hacer ruidos en las casas sin molestar a los vecinos. <br/>   También mi región tiene la ciudad grande - Chicago con edificios altisimos, apartamentos, parques, museos, vida de calle y noche y transportación publica. A mi me gusta el estilo mas o menos moderno de Chicago con edificios cubiertos por vidrio y hierro. Una persona parece muy pequena cerca de estos edificios. En Madrid siento la historia más que la modernidad, aunque Madrid es una ciudad muy moderna porque más de los edificios son en estilos antiguos y son más bajos. Creo que este estilo es tan bonito como el de Chicago. Además mi parte favorita de Chicago es el lago Michigan con su aua a veces turbulenta y abundancia de barcos. <br/>   Así aún a mi me gusta la región de mi hogar, puede apreciar otros lugares. Las diferencias entre Madrid y Chicago y España y Illinois hacen los dos lugares más especiales en mi vida. Explorar Madrid es tan divertido como disfrutar las cosas familiares de mi región. En conclusión creo que ambos regiones son únicos en este mundo."	
Learners	EN_WR_41_20_6_4_BZ	2006-2016	41 / 43	95.3	Upper advanced	Female	20	University of Florida	SPN3300	1st	English	English	English	English	14	6	No	""	""	0	""	Upper intermediate (B2)	Upper intermediate (B2)	Lower advanced (C1)	Lower advanced (C1)	4.5 / 6	Korean	Lower beginner (A1)	Lower beginner (A1)	Lower beginner (A1)	Lower beginner (A1)	Written	4	4. Last year holidays	written_online	""	Inside classroom	Bilingual dictionary (Spanish/English)	Durante mis vacaciones del dos mil y nueve me pasó bien. Cada pausa estaba con miembros de mi familia y amigos. Como todo el mundo sabe, está es la fórmula para disfrutarse. <br/>   El verano pasado yo fui por avión a Washington, D.C. para buscar trabajo y pasar tiempo con mi hermana mayor y su marido. Me quede* en su gran apartamento con sus dos gatos lindos. Fue una experiencia tan* bueno y yo me diverte* mucho con ellos. Los dos de ellos les gusta mucho la cultura de otras paises y aprender otros lenguas entónces ellos son como yo. <br/>   Busque* occupaciones en la ciudad como en centros de comercio y tiendas cerca del apartamento. Termino* mi búsqueda cuando una Panera pequena* me acceptó. Casi todos los dias* camine* a tienda, algunas veces a las cinco de la manana*. Aunque esto fue dificil*, estoy segura que aprendi* mucho sobre yo mismo y de la communicación entre otras personas y clientes. Aprendi*como funciona las maquinas* de dinero, como se hace los bebidos de cafe* y todo eso y trabajar con otras personas que tiene una personalidad mala. Conoci* a muchas personas que ya son amigos y desde el verano visite* a ellos durante la pausa del dia* de accion* de gracias. Fue una sorpresa buena. <br/>   La pausa en el noviembre fue divertido tambien*. Otra vez vole* a D.C. Estaba alli por solo* una noche y el proximo* dia* nosotros comimos a Panera y despues* manejamos en coche a Indiana. Mi tia*y otra familia vive alli.* Fue un viaje muy divertido sino largo. Todo el tiempo estabamos hablando y cantando por la radio. Finalmente nosotros llegamos a la casa de nuestra tia* a la una de la manana* o algo asi*. Mi mamá, papá, otra hermana y hermanito ya estaban alli* porque tuvieron mas* tiempo para ir a Indiana por coche. El próximo dia* fue el* de gracias. Nosotros comimos mucho y pasamos tiempo juntos. El resto de la pausa visitamos a otra familia en Michigan. Todo fue bien como siempre y me allegro de que podriamos* verles.	
Learners	EN_WR_41_20_7_14_CP	2016	41 / 43	95.3	Upper advanced	Male	20	Haverford	Political Science	3rd	English	English	English	English	12	7	Yes	Mexico	2000, 2012, 2014	1.5	""	Upper intermediate (B2)	Lower advanced (C1)	Lower advanced (C1)	Upper intermediate (B2)	4.5 / 6	""	""	""	""	""	Written	14	14. Chaplin	written_online	3	Outside classroom	""	"Charlie estaba andando por la calle cuando le cayó basura por una ventana. Paró para encendir otro cigarillo, y se dió cuenta que había un bebé solito en la calle. Lo cogió, pero no querría un bebé por nada. Entonces un madre con otro bebé pasó por la calle. El lo dejo con ella, pero ella se enfadó y lo devolvió inmediatamente. Charlie intentó dejar el bebé con un anciano tambien, pero el anciano lo dejo con la madre, y cuando ella vió a Charlie en seguida, le dió golpes con su paraguas y se lo mandó tomar. Por fin, Charlie vió que había una nota en el bebé: ""por favor, cuide a este huerfano."" Y decidió hacerlo."	
Learners	EN_WR_41_20_7_5_CJJ	2006-2016	41 / 43	95.3	Upper advanced	Male	20	Messiah College	Spanish	2nd	English	English	English	English	13	7	No	""	""	0	""	Lower advanced (C1)	Lower advanced (C1)	Lower advanced (C1)	Lower advanced (C1)	5 / 6	French	Lower intermediate (B1)	Upper intermediate (B2)	Upper intermediate (B2)	Upper intermediate (B2)	Written	5	5. Future plans	written_online	""	Outside classroom	Spellchecker	Desde una edad muy joven, yo tenía mucho interés en los animales y la naturaleza. Cuando era niño, a veces quería ser veterinario y a otras veces, quería ser profesor. Pocos años más tarde, cuando tenía unos diez años, decidí que sería ornitológico. Cuando era estudiante en la escuela intermedia, cambié mis planes a estudiar la horticultura.  <br/>  Mis padres y abuelos no estaban muy contentos con mi escoja (creían que mis prospectos de encontrar trabajo no eran tan buenos), y cuando estaba alumno en el colegio, me avisaban que debiera entrar el campo de medicina. Específicamente, sugerían que yo fuera farmacólogo. Yo trabajaba con farmacólogos unos días, en el hospital y en una farmacia privada. Estaba en dos hospitales diferentes, donde yo veía como los farmacólogos evaluaban los órdenes de los médicos para averiguar que fueron correctos y razonables. Seguí a los médicos cuando estaban en los pisos del hospital donde ellos consultaban con los enfermos, y yo aun miraba las investigaciones de otros farmacólogos en que estudiaban los efectos de drogas nuevas y revolucionarias. Cuando estaba en la farmacia privada, observaba como los farmacólogos llenaban recetas, contaban pastillas, y mantenían la informaci&oacute;n sobre los pacientes en el ordenador. Aunque tenía experiencias diversas, todavía no me interesaba tanto la farmacológica. Me parecía tan monótono, y sabía que no era la profesión para mí. <br/>  Porque no me gustaba tanto la farmacología, mi familia sugería que yo debiera ser dentista_x0097_una profesión muy popular con mis parientes. Tengo una tía que es dentista, un tío que es ortodontista, y otro que era cirujano oral. Había visto como mis tíos se disfrutaban tanto de lo que hacían, y pensaba que era una posibilidad que yo también me aprovechara de este tipo de trabajo. Por eso, pasaba unos días con mi dentista general y con mi tío ortodontista. La experiencia estaba bastante bueno_x0097_mejor que la farmacología_x0097_pero todavía no estaba seguro que yo quería ser dentista u ortodontista. Sabía que debía tolerarlo, pero no pensaba que era lo que me interesaba más.  <br/>  También cuando era alumno en la escuela intermedia, yo comencé a estudiar la lengua española. Me parecía bastante fácil, y me fascinaba mucho. En los cuatro años en la escuela secundaria, yo continuaba mis estudios de español, y mi interés aumentaba. Cuando estaba en mi segundo año en el colegio, decidí a empezar a estudiar el francés también. Porque hacía tres años que tomaba clases de español, podía darme cuenta de muchas semejanzas entre el español y el francés que facilitaban el aprendizaje de esta segunda lengua extranjera.  <br/>  Cuando mi penúltimo año en el colegio vino, empecé mi busca de universidades. Visitaba a unos, cercano de donde vivo, donde podría estudiar la farmacológica, y también la biología para que pudiera aplicar a escuelas dentífricas después de tres anos en la universidad si yo quisiera. Al fin de mi último año en la escuela secundaria, decidí que asistiría a una escuela pequeña y privada (solamente unos diez kilómetros fuera de mi casa), donde me centraría en dos concentraciones_x0097_el español y la biología_x0097_porque todavía no estaba seguro de cual carrera quería tener.  <br/>  En mi primer semestre en la universidad, yo tomaba cursos de biología molecular, química, cálculo, español, y composición inglesa. La biología era tan abstracta, y la química fue la clase más difícil que había tomado. No me gustaban. El próximo semestre, tenía otro curso de química y también cursos de zoología, botánica, lingüística contrastiva (entre inglés y español), y religión. Me interesaba mucho las clases de zoología y botánica, pero no la clase de química que no podía entender.  <br/>  Hoy he acabado mi tercer semestre en lo cual tenía clases de química orgánica (el curso más arduo que ahora he tomado), genética, chino, teología católica, y lingüística española_x0097_una clase sobre el estudio científico de la lengua. Me fascina mucho la lingüística, especialmente las variaciones dialectales (regionales) del español. Por ejemplo, en el español castellano del central y norte de España, hay un rasgo que se llama <<el ceceo,>> que demuestra el contraste entre las palabras <<casa>> y <<caza.>> En la mayoría del mundo hispanohablante, estas palabras son pronunciadas iguales. Otro ejemplo del castellano es que la <<d>> intervocálica tiene una pronunciación muy débil, parecida a la <<z>> en <<caza.>> Este ocurre en muchos palabras, como en la mayoría de los participios pasados (hablado, comido, etc.). En otras regiones, como en Andalucía en el sur de España, la <<d>> intervocálica desaparece y se pronuncia la palabra <<hablado>> como <<hablao.>> También en esta región, a menudo no se pronuncian las <<s>> que están en el centro (no al principio) o al fin de la palabra. Para mí, esto es muy interesante, y yo creo que quiero ser catedrático de lingüística. No puedo esperar la oportunidad que tendré de viajar a España y otros partes de Europa para explorar el español y otras lenguas indoeuropeas (que vienen del mismo antepasado como el español y el inglés).	
Learners	EN_WR_41_20_7_5_KLM	2006-2016	41 / 43	95.3	Upper advanced	Female	20	Messiah College	Elem. Special Education	3rd	English	English	English	English	13	7	Yes	Ecuador	2008	5	""	Lower advanced (C1)	Lower advanced (C1)	Upper intermediate (B2)	Lower advanced (C1)	4.75 / 6	""	""	""	""	""	Written	5	5. Future plans	written_online	""	Outside classroom	Bilingual dictionary (Spanish/English), Spellchecker	Recientemente, he estado pensando bastante en lo que me gustaría hacer en el futuro. Ya que recibiré mis certificaciones en educación primaria y educación especial el próximo año, el futuro debe ser claro. Lo obvio sería buscar un trabajo en esta carrera y comenzar a enseñar. La verdad es que lo que parece obvio casi nunca es así. Por ejemplo, decir que enseñaré tiene más implicaciones. ¿Dónde trabajaré? ¿En qué tipo de escuela me gustaría trabajar? ¿En una clase de educación especial o no? ¿Qué edad de niños preferiría enseñar? Éstas son pocos ejemplos de las preguntas que rodean mi futuro.  <br/>  Actualmente, creo que lo mejor que puedo hacer es buscar opciones y experiencias diversas las cuales me pueden ayudar a averiguar lo que me interesa. Ya que soy una estudiante de tercer año, este verano que viene es el último que tendré para hacer lo que quisiera antes de graduarme. Entonces, me gustaría hacer algo este verano que tiene que ver con mis intereses y que tal vez me pueda encontrar nuevas posibilidades para el futuro. Una oportunidad muy única que realmente no había esperado es viajar a Kenya para trabajar en unos orfanatos que cuidan los niños que son víctimas de SIDA. Esta posibilidad es un poco irónica porque tuve planes de visitar a Kenya el verano pasado con una profesora de mi universidad. Se canceló el viaje cuando una amiga íntima de esa profesora se enfermó y se murió. Por supuesto, este suceso me desilusionó, pero no había pensado mucho en ning&uacute;n viaje parecido este verano. <br/>  Cómo sucedió que comencé a considerar la posibilidad de Kenya de nuevo es bastante interesante. Había decidido hace unos meses que me gustaría un aprendizaje en un país extranjero este verano, y algo que tiene que ver con mi carrera sería preferible. Entonces, había estado buscando información y oportunidades varias, y encontré algo que me parecía perfecto: un aprendizaje en el área del desarrollo de niños con una organización de caridad que tiene oficinas en muchos países latinoamericanos. Ya que sería una oportunidad practicar mi español además de trabajar con niños, esta oportunidad parecía quedarme bien. Estaba persiguiendo esta oportunidad por unos meses cuando la organización decidió cambiar los requisitos de los aprendizajes y trabajar solamente con los estudiantes posgraduados. Así desaparecieron mis planes para el futuro.  <br/>  A este punto, estaba muy desilusionada. Estaba hablando con la profesora con quién iba a visitar a Kenya el año pasado, y le preguntó si alguna oportunidad parecida a la que había estado explorando existía con la organización que trabaja con los orfanatos en Kenya. Ella me dijo que sí, y el día siguiente me mandó más información. Mientras estaba leyendo la descripción de las responsabilidades de los estudiantes que trabajarían en Kenya este verano, creo que mi corazón comenzó a latir un poco más rápido. Si pudiera conseguir el puesto, yo trabajaría en varios orfanatos, tomando fotografías y escribiendo de los niños para que la gente que apoya la organización económicamente sepa lo que se cumple a través de sus donaciones. También, uno de los orfanatos en el cual trabajaría es para niños con necesidades especiales, y otro tiene una escuela Montessori. Cada día, me entierro de otra razón por qué esta oportunidad me queda bien. <br/>  He enfocado en el futuro inmediato, pero si he aprendido algo a través de todos esos cambios de planes, es que raramente podemos planear demasiado en avanza. El futuro y además nosotros mismos cambiamos día al día. Tal vez mañana me enterraré de que la posibilidad de ir a Kenya ya no exista. Lo importante no es que sé el futuro sino que sigo buscando las opciones y la opción que me satisface y me ayudar realizar mi propósito.	
Learners	EN_WR_41_20_8_5_RJS	2006-2016	41 / 43	95.3	Upper advanced	Female	20	University of Wisconsin	Spanish	3rd	English	English	English	English	12	8	Yes	Spain	sept 2006 to present	4	""	Lower intermediate (B1)	Lower advanced (C1)	Lower advanced (C1)	Upper intermediate (B2)	4.25 / 6	Italian	Upper beginner (A2)	Lower beginner (A1)	Lower beginner (A1)	Upper beginner (A2)	Written	5	5. Future plans	written_online	""	Outside classroom	""	Tengo muchos planes para el futuro. Voy a estar en Madrid hasta julio de 2007 y durante este tiempo quiero mejorar mi español y quiero viajar por toda Europa. Cuando regreso a los Estados Unidos en julio tengo que encontrar un trabajo y un lugar donde puedo vivir durante mi año final a la Universidad de Wisconsin. Tengo un año más a la universidad y luego estaré terminado con mis primeros cuatro años de escuela después del colegio. Creo que después de este año voy a viajar a sur América para trabajar. Creo que sur América es muy diferente que Europa y por eso quiero practicar mi español más y también quiero aprender sobre otra cultura. Cuando regreso en el verano de 2009 quiero empezar escuela para fisioterapia. Tengo que ir a la escuela por tres años mas para realizar este sueno pero creo que tengo la dedicación. Quiero trabajar en un hospital y ayuda la gente que no puede caminar o cualquier cosa. <br/>  Además de mi trabajo tengo otros objetivos para el futuro. Me encanta correr y espero correr un maratón en los próximos dos anos. No sé exactamente cuando puedo a causa de todos mis viajes y otras circunstancias pero creo que en la primavera de 2008 correré mi primera maratón. Cuando corro puedo minimizar el estrés y eso es muy importante en mi vida. He aprendido que correr es algo que necesito hacer para estar contenta y contenta es algo que quiero estar. <br/>  A este punto de mi vida hay muchas cosas que pueden ocurrir para cambiar mis planes. Ahora creo que quiero ser fisioterapista pero en realidad hay muchas cosas me gustaría hacer. Me gusta la política y por eso sería posible hacer algo con esta pasión. También siempre he tenido la idea que querría ser escritora. Lo que quiero decir es que no sería terrible si todos mis planes no funcionan exactamente como querría ahora.  <br/>  Finalmente, la otra cosa que quiero hacer es tener algunas relaciones importantes en mi vida. Siempre he tenido buenas relaciones con mi familia y quiero continuar eso en el futuro. Creo que algún día querría casarse pero no estoy segura. También creo que querría tener hijos pero otra vez no estoy segura. Tengo muchas esperanzas para mi vida pero la única cosa que está fijo en mi cerebro es el hecho que quiero hacer cosas que quiero hacer. No voy a vivir como mi madre quiere ni como mi padre quiere. Sí, sus consejos son importantes a mí, pero al final es mi vida y tengo que hacer lo que es mejor para mí. <br/>  Ahora hay mucho misterio en mi vida. Será interesente ver en diez o quince años que ocurre con el futuro. No sé donde viviré, no sé que idiomas hablaré, en realidad no sé nada y eso me doy un poco miedo. ¿Qué pasará con mi vida? No sé, y por eso tengo que vivir en el presente y en muy poco tiempo el futuro será el presente y todo estaré bien. No vale la pena preocuparse sobre el futuro y por eso no voy a preocuparme.	
Learners	EN_WR_41_20_9_1_GLH	2006-2016	41 / 43	95.3	Upper advanced	Female	20	McGill University	Bachelor of Arts in Political Science and Hispanic Studies	3rd	English	English	English	English	12	9	Yes	Spain	Spring 2006	6	""	Upper intermediate (B2)	Lower advanced (C1)	Lower advanced (C1)	Lower advanced (C1)	4.75 / 6	German	Upper beginner (A2)	Lower beginner (A1)	Upper beginner (A2)	Upper beginner (A2)	Written	1	1. Region where you live	written_online	""	Outside classroom	""	Yo tengo tres hogares en tres regiones muy distintas, y quiero cada uno muchísima. Están las tres en países diferentes: con culturas diferentes, gentes diferentes y lenguas diferentes. <br/>   <br/>  Mi primer hogar es la casa de mi madre que está situado en el pueblo en el que crecía yo en los Estados Unidos, donde la gente habla inglés con un acento muy marcado del noroeste. Es una casa grande de tres plantas cerca el océano Atlántico, con sus playas de arena orada y piedras pequeñas y con sus frías olas azules casi grises. Hay bosques enormes en mi pueblo, y mi gato puede jugar libremente y cazar los ratones y pájaros que viven en ellos. Mi pueblo tiene una población muy pequeña y no se puede ir de compras en el supermercado sin ver a amigos o a vecinos. Algunos de los niños de mi pueblo montan sus bicicletas y las conducen en las calles tranquillas mientras otros juegan fútbol en los campos cerca de las escuelas. <br/>   <br/>  Mi segundo hogar es un gran ciudad en Canadá donde yo alquilo un piso con dos amigas mías y donde asisto una universidad con muchas personas de culturas y países distintos. Esta ciudad es muy cosmopolita y la gente habla ambos inglés y francés facílamente y se abriga contra el frío horrible del invierno. No hay océano pero hay un río enorme llamado el San Lorenzo que tiene un viento fuerte y puertos con barcos destinados a todos los puertos mayores del mundo. Alredador de mi ciudad hay campos en los que se crecen trigo y cerdos y maíz. <br/>   <br/>  Mi tercer hogar es, lastimamente, muy temporal. Yo asisto ahora (por este cuatrimestre) una universidad en Sevilla, España y vivo en un piso de cuartos oscuros en que vivo con una mayor señora española quien cocina para mí y lava mi ropa y me conta historias de su juventud, y quien es mi compañera preferida con que mirar todos los programas de la televisión. Ella tiene una hermana quien vive en el piso abajo y quien es también como tía mía. <br/>   <br/>  Esta ciudad es la con la tempuratura más alta que he experenciado nunca. El calor llena las calles estrechas y las habitaciones oscuras con ventanas cerradas ofrecen el único refugio durante las horas pesadas de la tarde cuando casi todo el mundo toma una siesta. La gente aquí habla un español con acento distintamente andaluz y es orgullosa de su cultura rica y antigua. Los campos cerca de la ciudad crecen acetunas, alcachofas, y uvas para hacer vino. Esta ciudad también tiene río; aunque no es tan grande como el San Lorenzo, el Guadalquivir también me encanta y muchas veces yo traigo mis libros al banco para leer en la sombra de los árboles. <br/>   <br/>  Aunque son muy distintas y muy diversos, todos mis hogares – cada uno de los tres lugares – ocupan un gran sitio en mi corazón.	
Learners	EN_WR_41_21_10_13_RS	2019	41 / 43	95.3	Upper advanced	Female	21	Brown University	Computer Science	3rd	English	English	English	English	11	10	Yes	Spain	now (2019)	5	""	Upper intermediate (B2)	Upper intermediate (B2)	Lower advanced (C1)	Lower advanced (C1)	4.5 / 6	""	""	""	""	""	Written	13	13. Frog	written_online	5	Outside classroom	Spellchecker	Un día, un chico recogió una rana y la puso en una jarra. Desafortunadamente, los humanos no pueden controlar el espíritu espontáneo de las ranas, así que la rana escapó. El chico sale con su perro para buscar la rana, pero no la encuentra fácilmente. Buscan por el bosque y el rio hasta que un ciervo los empuja para que caigan al agua. Solo al emerger del agua veen la rana con un amigo, otra rana, mirándoles desde un pedazo de madera.	
Learners	EN_WR_41_21_2_14_HT	2018	41 / 43	95.3	Upper advanced	Male	21	Johns Hopkins	Neuroscience	4th	English	Spanish	English	English	16	2	Yes	Spain	fall 2017	8	""	Upper intermediate (B2)	Upper intermediate (B2)	Upper intermediate (B2)	Lower intermediate (B1)	3.75 / 6	""	""	""	""	""	Written	14	14. Chaplin	written_online	30	Outside classroom	Spellchecker	En el video de Charlie Chaplin había un hombre, creo que era Charlie Chaplin, caminado por la calle. En principio basura cayó pero no le pegó. Mas debajo de la calle mas basura cayó y pegó el hombre. Después, Charlie, sacó una caja para habanas y era buscando un cigarrillo. Justo después de enciendo el cigarrillo le escuchó y encontró un bebé llorando, el video no tenia sonido, no estoy seguro pero creo que un bebé en este caso llora. Además, había nadie caminado y el no sabia de quien era el bebé. Por eso, cuando una mujer pasó con otro bebé el fue a darlo a ella. Aunque, lo no era su bebé. A causa de esa ella le puso rojo y rechazó el bebé. Después, el fue buscando otra persona que posible que sea el padre del bebé. Llegó a un hombre justo al lado de la esquina. Era un hombre mas mayor, y no pudiera rechazar el bebé cuando Charlie había corriendo. Momentos después el hombre mas mayor fue buscando de quien era el bebé. Por suerte o que sea, encontró, también la misma mujer con otro bebé en una carrito por los bebés. Y el, sin la mujer mirando, dejó el bebé, otra vez, en el carrito. Cuando la mujer salió de la tienda que había adentro, ella lo ha visto que el bebé era con su hijo cuando Charlie caminaba a su lado. Cuando le dio cuenta que el bebé era lo mismo que se vio antes fue a pegar Charlie y dárselo. Al final, Charlie encontró un papel que se decía, mas desea, que alguien ama y cuida el bebé sin padres. Entonces, Charlie quedó con el niño y el video se terminó ahí.	
